x_id,subject,subject_type,relation,y_id,object,object_type,source
1,axial herniation,disease,disease_caused_disease,2,generalized brain edema,disease,niu_._P4_and_2_p2_131.txt_chunk_138
3,lateral herniation,disease,disease_caused_disease,4,unilateral mass effect,disease,niu_._P4_and_2_p2_131.txt_chunk_138
5,contralateral hemiparesis,symptom,symptom_has_description,6,compression of the ipsilateral cerebral peduncle,description,niu_._P4_and_2_p2_131.txt_chunk_138
7,hemiparesis,symptom,symptom_has_description,8,pressing the opposite cerebral peduncle against the sharp edge of the tentorium,description,niu_._P4_and_2_p2_131.txt_chunk_138
1,axial herniation,disease,disease_examination,9,brainstem infarction,examination,niu_._P4_and_2_p2_131.txt_chunk_138
3,lateral herniation,disease,disease_examination,6,compression of the ipsilateral cerebral peduncle,examination,niu_._P4_and_2_p2_131.txt_chunk_138
1,axial herniation,disease,disease_lack response_examination,9,brainstem infarction,examination,niu_._P4_and_2_p2_131.txt_chunk_138
3,lateral herniation,disease,disease_lack response_examination,6,compression of the ipsilateral cerebral peduncle,examination,niu_._P4_and_2_p2_131.txt_chunk_138
1,axial herniation,disease,disease_treatment,9,brainstem infarction,treatment,niu_._P4_and_2_p2_131.txt_chunk_138
3,lateral herniation,disease,disease_treatment,6,compression of the ipsilateral cerebral peduncle,treatment,niu_._P4_and_2_p2_131.txt_chunk_138
1,axial herniation,disease,disease_symptom,10,bilateral uncal herniation,symptom,niu_._P4_and_2_p2_131.txt_chunk_138
3,lateral herniation,disease,disease_symptom,5,contralateral hemiparesis,symptom,niu_._P4_and_2_p2_131.txt_chunk_138
1,axial herniation,disease,disease_symptom,11,tonsillar herniation,symptom,niu_._P4_and_2_p2_131.txt_chunk_138
3,lateral herniation,disease,disease_symptom,6,compression of the ipsilateral cerebral peduncle,symptom,niu_._P4_and_2_p2_131.txt_chunk_138
3,lateral herniation,disease,disease_examination,6,compression of the ipsilateral cerebral peduncle,examination,niu_._P4_and_2_p2_131.txt_chunk_138
1,axial herniation,disease,disease_examination,9,brainstem infarction,examination,niu_._P4_and_2_p2_131.txt_chunk_138
3,lateral herniation,disease,disease_lack response_examination,6,compression of the ipsilateral cerebral peduncle,examination,niu_._P4_and_2_p2_131.txt_chunk_138
1,axial herniation,disease,disease_lack response_examination,9,brainstem infarction,examination,niu_._P4_and_2_p2_131.txt_chunk_138
3,lateral herniation,disease,disease_treatment,6,compression of the ipsilateral cerebral peduncle,treatment,niu_._P4_and_2_p2_131.txt_chunk_138
1,axial herniation,disease,disease_treatment,9,brainstem infarction,treatment,niu_._P4_and_2_p2_131.txt_chunk_138
1,axial herniation,disease,disease_usually happens_population,2,generalized brain edema,population,niu_._P4_and_2_p2_131.txt_chunk_138
3,lateral herniation,disease,disease_usually happens_population,4,unilateral mass effect,population,niu_._P4_and_2_p2_131.txt_chunk_138
12,cn iv,clinical manifestations,is,13,trochlear n.,disease,niu_._P4_and_2_p2_131.txt_chunk_154
14,course,description,is,15,runs,usage,niu_._P4_and_2_p2_131.txt_chunk_171
16,postganglionic sympathetic fibers,clinical manifestations,is,17,cn v2,instrument,niu_._P4_and_2_p2_131.txt_chunk_176
18,facial paralysis,symptom,is,19,lesion,disease,niu_._P4_and_2_p2_131.txt_chunk_183
18,facial paralysis,disease,disease_caused_disease,20,central (supranuclear) paralysis,disease,niu_._P4_and_2_p2_131.txt_chunk_185
21,scalp lacerations,disease,disease_has_clinical manifestations,22,bleed profusely,clinical manifestations,niu_._P4_and_2_p2_131.txt_chunk_210
21,scalp lacerations,disease,disease_has_clinical manifestations,23,the wound to gape,clinical manifestations,niu_._P4_and_2_p2_131.txt_chunk_210
21,scalp lacerations,disease,disease_has_clinical manifestations,24,should be sutured or otherwise controlled as soon as possible,clinical manifestations,niu_._P4_and_2_p2_131.txt_chunk_210
21,scalp lacerations,disease,disease_has_clinical manifestations,25,"prevent serious, sometimes fatal, loss of blood",clinical manifestations,niu_._P4_and_2_p2_131.txt_chunk_210
26,"venous ""danger zone"" in the face",disease,disease_has_clinical manifestations,27,bacterial dissemination into the cranial cavity,clinical manifestations,niu_._P4_and_2_p2_131.txt_chunk_210
26,"venous ""danger zone"" in the face",disease,disease_has_clinical manifestations,28,there is therefore a particularly high risk,clinical manifestations,niu_._P4_and_2_p2_131.txt_chunk_210
26,"venous ""danger zone"" in the face",disease,disease_has_clinical manifestations,29,bacteria from a boil on the lip may enter the facial vein and cause meningitis,clinical manifestations,niu_._P4_and_2_p2_131.txt_chunk_210
30,neurovascular topography of the lateral head: superficial layer,disease,disease_has_clinical manifestations,31,"superficial temporal artery, frontal branch",clinical manifestations,niu_._P4_and_2_p2_131.txt_chunk_210
30,neurovascular topography of the lateral head: superficial layer,disease,disease_has_clinical manifestations,32,infraorbital nerve (cn v2),clinical manifestations,niu_._P4_and_2_p2_131.txt_chunk_210
30,neurovascular topography of the lateral head: superficial layer,disease,disease_has_clinical manifestations,33,external nasal nerve (cn v1),clinical manifestations,niu_._P4_and_2_p2_131.txt_chunk_210
30,neurovascular topography of the lateral head: superficial layer,disease,disease_has_clinical manifestations,34,greater occipital nerve (c2),clinical manifestations,niu_._P4_and_2_p2_131.txt_chunk_210
30,neurovascular topography of the lateral head: superficial layer,disease,disease_has_clinical manifestations,35,mental nerve (cn v3),clinical manifestations,niu_._P4_and_2_p2_131.txt_chunk_210
30,neurovascular topography of the lateral head: superficial layer,disease,disease_has_clinical manifestations,36,great auricular nerve (from cervical plexus [c2-c3]),clinical manifestations,niu_._P4_and_2_p2_131.txt_chunk_210
30,neurovascular topography of the lateral head: superficial layer,disease,disease_has_clinical manifestations,37,parotid gland,clinical manifestations,niu_._P4_and_2_p2_131.txt_chunk_210
38,paranasal sinuses,disease,is,39,air-filled cavities,description,niu_._P4_and_2_p2_131.txt_chunk_235
40,sphenoid sinus,disease,is,41,hypophyseal fossa,disease,niu_._P4_and_2_p2_131.txt_chunk_239
42,floor of the oral cavity,clinical manifestations,is,43,muscles of the oral floor,description,niu_._P4_and_2_p2_131.txt_chunk_278
44,treacher collins syndrome,disease,disease_caused_disease,45,cleft palate,disease,niu_._P4_and_2_p2_131.txt_chunk_31
44,treacher collins syndrome,disease,disease_caused_disease,46,hearing loss,disease,niu_._P4_and_2_p2_131.txt_chunk_31
44,treacher collins syndrome,disease,disease_caused_disease,47,vision loss,disease,niu_._P4_and_2_p2_131.txt_chunk_31
44,treacher collins syndrome,disease,disease_caused_disease,48,difficulty breathing,disease,niu_._P4_and_2_p2_131.txt_chunk_31
49,pierre-robin syndrome,disease,disease_caused_disease,45,cleft palate,disease,niu_._P4_and_2_p2_131.txt_chunk_31
49,pierre-robin syndrome,disease,disease_caused_disease,50,dyspnea,disease,niu_._P4_and_2_p2_131.txt_chunk_31
44,treacher collins syndrome,disease,disease_has_clinical manifestations,51,malar hypoplasia,clinical manifestations,niu_._P4_and_2_p2_131.txt_chunk_31
44,treacher collins syndrome,disease,disease_has_clinical manifestations,52,mandibular hypoplasia,clinical manifestations,niu_._P4_and_2_p2_131.txt_chunk_31
44,treacher collins syndrome,disease,disease_has_clinical manifestations,53,down slanting eyes,clinical manifestations,niu_._P4_and_2_p2_131.txt_chunk_31
44,treacher collins syndrome,disease,disease_has_clinical manifestations,54,eyelid coloboma,clinical manifestations,niu_._P4_and_2_p2_131.txt_chunk_31
44,treacher collins syndrome,disease,disease_has_clinical manifestations,55,malformed external ears,clinical manifestations,niu_._P4_and_2_p2_131.txt_chunk_31
49,pierre-robin syndrome,disease,disease_has_clinical manifestations,56,abnormally small mandible,clinical manifestations,niu_._P4_and_2_p2_131.txt_chunk_31
49,pierre-robin syndrome,disease,disease_has_clinical manifestations,57,glossoptosis,clinical manifestations,niu_._P4_and_2_p2_131.txt_chunk_31
49,pierre-robin syndrome,disease,disease_has_clinical manifestations,45,cleft palate,clinical manifestations,niu_._P4_and_2_p2_131.txt_chunk_31
58,surgery,treatment,treatment_has_description,59,repair the cleft palate,description,niu_._P4_and_2_p2_131.txt_chunk_31
60,extensive infections of the external facial region,disease,disease_usually happens_population,61,patients,population,niu_._P4_and_2_p2_131.txt_chunk_315
62,sjogren syndrome,disease,disease_caused_disease,63,keratoconjunctivitis sicca,disease,niu_._P4_and_2_p2_131.txt_chunk_318
62,sjogren syndrome,disease,disease_caused_disease,64,xerostomia,disease,niu_._P4_and_2_p2_131.txt_chunk_318
62,sjogren syndrome,disease,parent-child,63,keratoconjunctivitis sicca,disease,niu_._P4_and_2_p2_131.txt_chunk_318
62,sjogren syndrome,disease,parent-child,64,xerostomia,disease,niu_._P4_and_2_p2_131.txt_chunk_318
65,lacrimal nerve,instrument,is,66,cn v,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
67,zygomatic nerve,instrument,is,66,cn v,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
68,greater petrosal nerve,instrument,is,69,cn vii,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
70,facial nerve,instrument,is,69,cn vii,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
71,nasolacrimal duct,instrument,is,72,inferior concha of the nose,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
73,inferior opening,instrument,is,71,nasolacrimal duct,instrument,niu_._P4_and_2_p2_131.txt_chunk_318
